command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_mmap2b 16 16,2.2403997130200004,0.18238669306880811,2.14949343502,28.830473466666664,0.6084711666666668,2.12133251202,2.4503731920200003,16,16,parallel_mmap2b
./run.sh 1brc_parallel_mmap3 16 16,1.89390683402,0.015744340864729173,1.89945215202,24.991124466666665,0.48436450000000003,1.8761401310199999,1.90612821902,16,16,parallel_mmap3
./run.sh 1brc_parallel_ptr2b 16 16,4.942654128686667,0.04969367502711428,4.94908496002,22.2146618,3.8192091666666665,4.89005810302,4.98881932302,16,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 16,2.5090178423533334,0.07190097604907034,2.49925637902,30.471312799999996,4.8348445,2.44249629302,2.5853008550200003,16,16,parallel_ptr3b
./run.sh 1brc_parallel_ptr4 16 16,2.1274976156866665,0.04772688161025927,2.13439273102,25.65661713333333,4.415911833333333,2.07669820202,2.17140191402,16,16,parallel_ptr4
./run.sh 1brc_parallel_mmap2b 24 16,2.3024821193533334,0.03966384165526372,2.30861418002,29.131215799999996,0.5344828333333334,2.26010936302,2.33872281502,16,24,parallel_mmap2b
./run.sh 1brc_parallel_mmap3 24 16,1.9364241643533333,0.028796730421491862,1.9224739870199998,25.159062466666665,0.5218565000000001,1.91725932002,1.96953918602,16,24,parallel_mmap3
./run.sh 1brc_parallel_ptr2b 24 16,3.2274877113533336,0.0989283561310732,3.1889737570200003,26.687357466666665,4.478371499999999,3.15360862602,3.33988075102,16,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 16,2.5916726423533336,0.04176151030661374,2.6001132190200003,30.3591888,3.6426901666666662,2.54633555402,2.62856915402,16,24,parallel_ptr3b
./run.sh 1brc_parallel_ptr4 24 16,2.2978907733533336,0.069485878743854,2.32363886202,25.572532133333336,4.2123235,2.21920590702,2.35082755102,16,24,parallel_ptr4
./run.sh 1brc_parallel_mmap2b 32 16,2.240507515353334,0.059931747111687944,2.2214629990200003,29.477241466666666,0.5540014999999999,2.19241211902,2.30764742802,16,32,parallel_mmap2b
./run.sh 1brc_parallel_mmap3 32 16,1.9287347866866666,0.005990832996194345,1.92739258002,25.422705133333334,0.5339055,1.9235289060199998,1.93528287402,16,32,parallel_mmap3
./run.sh 1brc_parallel_ptr2b 32 16,2.9113188633533333,0.06982799040737869,2.91231987402,30.7047658,4.583418833333333,2.84099574902,2.9806409670200003,16,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 16,2.6119031013533336,0.03827496493091207,2.58995774602,30.616167466666667,3.8315991666666664,2.58965268502,2.6560988730200004,16,32,parallel_ptr3b
./run.sh 1brc_parallel_ptr4 32 16,2.311517293686667,0.029568107465609797,2.30858063802,25.9862248,4.010496166666666,2.2835270910200003,2.34244415202,16,32,parallel_ptr4
