command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_ptr2 16 12,11.92096198676,0.4315883739563459,11.84902812976,57.19958664,7.300835086666667,11.52986022676,12.383997603760001,12,16,parallel_ptr2
./run.sh 1brc_parallel_ptr3 16 12,10.807372127759999,0.1667467680940489,10.80798368176,71.14233097333333,7.732748086666667,10.64032042376,10.97381227776,12,16,parallel_ptr3
./run.sh 1brc_parallel_ptr2 24 12,10.063356885093333,0.25244172415555,9.97537640576,67.87513530666665,9.026700753333332,9.86667847176,10.34801577776,12,24,parallel_ptr2
./run.sh 1brc_parallel_ptr3 24 12,10.321155276093334,0.08090917004838,10.297993312760001,70.54644130666667,8.956585420000001,10.254352991760001,10.41111952376,12,24,parallel_ptr3
./run.sh 1brc_parallel_ptr2 16 16,12.418797859093333,0.14942297003668129,12.42522848076,50.536771640000005,5.734054753333333,12.266263395760001,12.56490170076,16,16,parallel_ptr2
./run.sh 1brc_parallel_ptr3 16 16,10.49990322176,0.11422493070983115,10.46275517176,70.64308697333333,7.23593742,10.40887637276,10.62807812076,16,16,parallel_ptr3
./run.sh 1brc_parallel_ptr2 24 16,9.621099677426667,0.21968177688265442,9.56928851276,64.96925064,8.432171086666665,9.431954601760001,9.862055917760001,16,24,parallel_ptr2
./run.sh 1brc_parallel_ptr3 24 16,11.032312098093334,0.564803927857259,11.08323561576,74.99461597333332,8.732802086666666,10.44377079476,11.56992988376,16,24,parallel_ptr3
./run.sh 1brc_parallel_ptr2 16 24,15.089776639760002,0.26135093620153316,14.93967227776,48.826866973333324,5.185994086666667,14.93810029976,15.39155734176,24,16,parallel_ptr2
./run.sh 1brc_parallel_ptr3 16 24,10.541325565093333,0.11350919801911266,10.53414515376,72.73828764,7.249624086666667,10.43157703376,10.65825450776,24,16,parallel_ptr3
./run.sh 1brc_parallel_ptr2 24 24,10.04635220676,0.15018882070382417,10.03783150576,57.89062297333333,6.499682753333334,9.90060512376,10.20061999076,24,24,parallel_ptr2
./run.sh 1brc_parallel_ptr3 24 24,10.442820870093334,0.12380980596530758,10.38804717276,72.64679297333332,8.175080419999999,10.35584535776,10.58457007976,24,24,parallel_ptr3
./run.sh 1brc_parallel_ptr2 16 32,17.953963621426666,0.4864115790799463,17.69957427976,48.323909973333336,4.580131753333333,17.64749855076,18.51481803376,32,16,parallel_ptr2
./run.sh 1brc_parallel_ptr3 16 32,10.391723582426666,0.1710130823972392,10.29543527976,70.80956597333333,7.208626419999999,10.29056302376,10.58917244376,32,16,parallel_ptr3
./run.sh 1brc_parallel_ptr2 24 32,10.920249667426667,0.10545013340405536,10.97491269176,50.601842973333326,5.7466294200000005,10.79869132276,10.98714498776,32,24,parallel_ptr2
./run.sh 1brc_parallel_ptr3 24 32,10.53253058376,0.0889391453896818,10.536249961760001,71.62383597333333,8.284063086666668,10.44179009676,10.61955169276,32,24,parallel_ptr3
