command,mean,stddev,median,user,system,min,max,parameter_D,parameter_N,parameter_name
./run.sh 1brc_parallel_mmap2b 16 32,2.0905006250333336,0.01932997613323139,2.0794820367,29.28312028666667,0.5389812599999999,2.0791994757,2.1128203627,32,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 32,7.291660679033334,0.13661672955978735,7.3281776387,21.12694462,2.0263355933333336,7.1404961627,7.4063082357,32,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 32,2.3428454023666667,0.08639478163138796,2.3225860597,30.660518953333334,3.4899565933333334,2.2683805847,2.4375695627000002,32,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 32,2.2259871180333333,0.01897430308212117,2.2344221646999998,28.974122953333335,0.5537155933333334,2.2042578367,2.2392813527,32,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 32,4.336286326700001,0.1431776360136576,4.3904074407,22.213552953333334,2.7042375933333336,4.1739371367,4.4445144027,32,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 32,2.4590537683666667,0.0281986361828337,2.4433981597,30.242315953333332,2.810921593333333,2.4421562917,2.4916068537,32,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 32,2.1990135087,0.03168061183387814,2.2120228227,29.282753619999998,0.5908722599999999,2.1628992337,2.2221184697,32,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 32,3.1108832207,0.13650637464623103,3.0479229887,26.73595428666667,3.1950765933333334,3.0172194307,3.2675072427,32,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 32,2.4339778630333337,0.04734431844554828,2.4512314437000002,30.50932595333333,2.89746126,2.3804264697,2.4702756757,32,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 32,2.1889760887,0.041188437536118325,2.1776357497,29.484578286666665,0.5540989266666666,2.1546458217,2.2346466947,32,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 32,2.713809381366667,0.021730197510925628,2.7013246707,32.63730562,3.9650505933333338,2.7012023207,2.7389011527,32,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 32,2.5411581883666665,0.04211743063658265,2.5380341887,30.92371262,3.37143526,2.5006897417,2.5847506346999998,32,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 32,2.1989199737000003,0.006762276894117927,2.1991880827,29.76895228666667,0.56871926,2.1920276297,2.2055442087,32,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 32,2.706430084366667,0.030008540883757408,2.7180554947,32.73665395333333,4.218805926666667,2.6723481397,2.7288866187,32,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 32,2.6492876693666667,0.02199452775807624,2.6518080637,31.577049286666664,4.047239926666667,2.6261415187,2.6699134257,32,64,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 16 48,2.086254866033333,0.010981046860831643,2.0830821957,29.372396286666667,0.57774526,2.0772094557,2.0984729467,48,16,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 16 48,9.0491271987,0.07712543071695972,9.0359803027,20.642359286666665,1.7276689266666665,8.9794202337,9.1319810597,48,16,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 16 48,2.2978263337000002,0.03581025217898069,2.3071786857,30.674997286666667,3.0336219266666666,2.2582678657,2.3280324497000002,48,16,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 24 48,2.2217881090333336,0.032097881991607624,2.2365627567,28.855377953333335,0.57287326,2.1849634557,2.2438381147,48,24,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 24 48,5.5453896770333335,0.3004698174127674,5.6902768257,21.479135953333337,2.1403689266666666,5.1999298087,5.7459623966999995,48,24,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 24 48,2.3761083680333335,0.03183649755956954,2.3591947177,30.079169953333334,2.5456609266666668,2.3562984477,2.4128319387,48,24,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 32 48,2.1494263666999998,0.0536504195060334,2.1367372687,29.02575662,0.5385719266666666,2.1032579877,2.2082838437,48,32,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 32 48,3.4666066223666667,0.35260712421292656,3.4727791637,25.516665953333334,2.6573189266666666,3.1109537497,3.8160869537,48,32,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 32 48,2.3426602017000002,0.0535296168419098,2.3357313327,30.389296286666664,2.575669926666667,2.2929324097,2.3993168627,48,32,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 48 48,2.1652335263666664,0.023873419325016822,2.1652510527,29.313632953333336,0.5339435933333333,2.1413513486999998,2.1890981777,48,48,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 48 48,2.7204958297000004,0.04362550887156803,2.7146616427,31.800580286666662,3.336582926666667,2.6800809867,2.7667448597,48,48,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 48 48,2.439327238366667,0.01963529505964094,2.4290102977,31.108710953333333,2.9758392599999994,2.4270009907,2.4619704266999998,48,48,parallel_ptr3b
./run.sh 1brc_parallel_mmap2b 64 48,2.1682946947,0.029422625345079147,2.1618639627,29.543803953333335,0.5828285933333333,2.1426193157,2.2004008057,48,64,parallel_mmap2b
./run.sh 1brc_parallel_ptr2b 64 48,2.730962033366666,0.028603726266227918,2.7279044887,33.85334095333334,3.7558675933333334,2.7040099047,2.7609717067,48,64,parallel_ptr2b
./run.sh 1brc_parallel_ptr3b 64 48,2.5125128220333335,0.026648027780254012,2.5198232297,31.289805286666667,3.6616722599999996,2.4829725677,2.5347426687,48,64,parallel_ptr3b
